model,family,mean_qlike,pvalue,in_mcs
Log HAR + GVZ + macro,log-OLS,0.029293154344697602,1.0,True
Log HAR + GVZ + Crude RV + macro,log-OLS,0.029337296909952192,0.6167,True
Log HAR + GVZ + SPX RV + macro,log-OLS,0.029433187785026283,0.1986,True
Log HAR + GVZ + SPX RV + Crude RV + macro,log-OLS,0.029485586170959376,0.1475,True
Log HAR + all-exog (OLS),log-OLS,0.029896614675986873,0.1475,True
Level HAR + GVZ + macro,level-OLS,0.030012370874876577,0.1475,True
Level HAR + GVZ + SPX RV + macro,level-OLS,0.030198891804158853,0.1475,True
Level HAR + GVZ + Crude RV + macro,level-OLS,0.030217477061204236,0.1475,True
Level HAR + GVZ + SPX RV + Crude RV + macro,level-OLS,0.030266871018957794,0.1475,True
Log HAR + GVZ,log-OLS,0.03046848265094514,0.1475,True
Log HAR + GVZ + Crude RV,log-OLS,0.030490328007425422,0.0878,True
Log HAR + GVZ + SPX RV,log-OLS,0.030607858158254692,0.025,False
Log HAR + GVZ (EN),EN-full,0.03060961097993142,0.0657,True
Log HAR + GVZ + Crude RV (EN),EN-full,0.030617944825675782,0.0479,False
Log HAR + GVZ + SPX RV + Crude RV,log-OLS,0.030636790730387074,0.0202,False
Log HAR + GVZ + SPX RV (EN),EN-full,0.0307675011602126,0.0243,False
Log HAR + all-exog (partial EN),EN-partial,0.03081712906570931,0.1475,True
Level HAR + GVZ,level-OLS,0.03115958946663477,0.0015,False
Level HAR + GVZ + SPX RV,level-OLS,0.03134522594212845,0.001,False
Level HAR + GVZ + Crude RV,level-OLS,0.031348209456513516,0.0031,False
Level HAR + GVZ + SPX RV + Crude RV,level-OLS,0.03138387989889671,0.002,False
Level HAR + macro,level-OLS,0.033024999437782115,0.0,False
Level HAR + Crude RV + macro,level-OLS,0.033152021549624974,0.0,False
Log HAR + Crude RV + macro,log-OLS,0.03318330934267947,0.001,False
Log HAR + macro,log-OLS,0.03318598577065949,0.0006,False
Log HAR + SPX RV + macro,log-OLS,0.03330611034638285,0.0008,False
Level HAR + SPX RV + macro,level-OLS,0.033341005840835485,0.0,False
Level HAR,level-OLS,0.03414488420974116,0.0,False
Level HAR + Crude RV,level-OLS,0.034223576211853964,0.0,False
Log HAR + Crude RV,log-OLS,0.0342858883224709,0.0,False
Log HAR,log-OLS,0.03433975443716608,0.0,False
Log HAR + OVX,log-OLS,0.03435011037082045,0.0,False
Log HAR + VIX,log-OLS,0.034361913244433384,0.0,False
Log HAR + SPX RV,log-OLS,0.03445792727091411,0.0,False
Level HAR + SPX RV,level-OLS,0.034469370485089364,0.0,False
