spec,window_years,delta,pvalue,in_mcs
Run 18  log+GVZ+macro,7.0,0.994,1.0,True
Run 18  log+GVZ+macro,2.0,0.992,0.9844,True
Run 18  log+GVZ+macro,2.0,0.993,0.9844,True
Run 18  log+GVZ+macro,2.0,0.994,0.9844,True
Run 18  log+GVZ+macro,2.25,0.992,0.9844,True
Run 18  log+GVZ+macro,2.25,0.993,0.9844,True
Run 18  log+GVZ+macro,2.25,0.994,0.9844,True
Run 18  log+GVZ+macro,2.5,0.992,0.9844,True
Run 18  log+GVZ+macro,2.5,0.993,0.9844,True
Run 18  log+GVZ+macro,2.5,0.994,0.9844,True
Run 18  log+GVZ+macro,2.75,0.992,0.9844,True
Run 18  log+GVZ+macro,2.75,0.993,0.9844,True
Run 18  log+GVZ+macro,2.75,0.994,0.9844,True
Run 18  log+GVZ+macro,3.0,0.992,0.9844,True
Run 18  log+GVZ+macro,3.0,0.993,0.9844,True
Run 18  log+GVZ+macro,3.0,0.994,0.9844,True
Run 18  log+GVZ+macro,3.25,0.992,0.9844,True
Run 18  log+GVZ+macro,3.25,0.993,0.9844,True
Run 18  log+GVZ+macro,3.25,0.994,0.9844,True
Run 18  log+GVZ+macro,3.25,0.995,0.9844,True
Run 18  log+GVZ+macro,3.5,0.992,0.9844,True
Run 18  log+GVZ+macro,3.5,0.993,0.9844,True
Run 18  log+GVZ+macro,3.5,0.994,0.9844,True
Run 18  log+GVZ+macro,3.5,0.995,0.9844,True
Run 18  log+GVZ+macro,3.75,0.992,0.9844,True
Run 18  log+GVZ+macro,3.75,0.993,0.9844,True
Run 18  log+GVZ+macro,3.75,0.994,0.9844,True
Run 18  log+GVZ+macro,3.75,0.995,0.9844,True
Run 18  log+GVZ+macro,4.0,0.992,0.9844,True
Run 18  log+GVZ+macro,4.0,0.993,0.9844,True
Run 18  log+GVZ+macro,4.0,0.994,0.9844,True
Run 18  log+GVZ+macro,4.0,0.995,0.9844,True
Run 18  log+GVZ+macro,4.25,0.992,0.9844,True
Run 18  log+GVZ+macro,4.25,0.993,0.9844,True
Run 18  log+GVZ+macro,4.25,0.994,0.9844,True
Run 18  log+GVZ+macro,4.25,0.995,0.9844,True
Run 18  log+GVZ+macro,4.25,0.996,0.9844,True
Run 18  log+GVZ+macro,4.5,0.992,0.9844,True
Run 18  log+GVZ+macro,4.5,0.993,0.9844,True
Run 18  log+GVZ+macro,4.5,0.994,0.9844,True
Run 18  log+GVZ+macro,4.5,0.995,0.9844,True
Run 18  log+GVZ+macro,4.5,0.996,0.9844,True
Run 18  log+GVZ+macro,4.75,0.992,0.9844,True
Run 18  log+GVZ+macro,4.75,0.993,0.9844,True
Run 18  log+GVZ+macro,4.75,0.994,0.9844,True
Run 18  log+GVZ+macro,4.75,0.995,0.9844,True
Run 18  log+GVZ+macro,4.75,0.996,0.9844,True
Run 18  log+GVZ+macro,5.0,0.992,0.9844,True
Run 18  log+GVZ+macro,5.0,0.993,0.9844,True
Run 18  log+GVZ+macro,5.0,0.994,0.9844,True
Run 18  log+GVZ+macro,5.0,0.995,0.9844,True
Run 18  log+GVZ+macro,5.0,0.996,0.9844,True
Run 18  log+GVZ+macro,5.25,0.992,0.9844,True
Run 18  log+GVZ+macro,5.25,0.993,0.9844,True
Run 18  log+GVZ+macro,5.25,0.994,0.9844,True
Run 18  log+GVZ+macro,5.25,0.995,0.9844,True
Run 18  log+GVZ+macro,5.25,0.996,0.9844,True
Run 18  log+GVZ+macro,5.5,0.992,0.9844,True
Run 18  log+GVZ+macro,5.5,0.993,0.9844,True
Run 18  log+GVZ+macro,5.5,0.994,0.9844,True
Run 18  log+GVZ+macro,5.5,0.995,0.9844,True
Run 18  log+GVZ+macro,5.5,0.996,0.9844,True
Run 18  log+GVZ+macro,5.75,0.992,0.9844,True
Run 18  log+GVZ+macro,5.75,0.993,0.9844,True
Run 18  log+GVZ+macro,5.75,0.994,0.9844,True
Run 18  log+GVZ+macro,5.75,0.995,0.9844,True
Run 18  log+GVZ+macro,5.75,0.996,0.9844,True
Run 18  log+GVZ+macro,6.0,0.992,0.9844,True
Run 18  log+GVZ+macro,6.0,0.993,0.9844,True
