month,year,risk_free_price,avg_price,avg_spread_bps_alive,defaulted_bonds,cumulative_default_share,sector_stress
0,0.0,83.9457,48.1595,1149.33,0,0.0,0.0
1,0.0833,84.1909,49.1502,1135.73,0,0.0,-0.021086
2,0.1667,84.4368,51.6995,1030.0,1,0.02,-0.114989
3,0.25,84.6834,51.8599,1048.07,1,0.02,-0.061205
4,0.3333,84.9308,52.9941,997.77,2,0.04,-0.111583
5,0.4167,85.1789,54.7878,945.14,2,0.04,-0.143628
6,0.5,85.4277,52.511,1003.75,5,0.1,0.014282
7,0.5833,85.6772,53.4993,983.2,5,0.1,0.006104
8,0.6667,85.9275,54.1761,949.09,6,0.12,-0.059349
9,0.75,86.1785,54.1124,952.04,7,0.14,-0.054965
10,0.8333,86.4302,55.3466,889.25,8,0.16,-0.153998
11,0.9167,86.6826,56.3095,867.75,8,0.16,-0.198649
12,1.0,86.9358,56.9927,858.85,8,0.16,-0.241565
13,1.0833,87.1898,57.6359,854.7,8,0.16,-0.277452
14,1.1667,87.4444,59.1861,801.92,8,0.16,-0.347643
15,1.25,87.6998,61.0855,731.88,8,0.16,-0.499446
16,1.3333,87.956,61.5944,734.89,8,0.16,-0.51261
17,1.4167,88.2129,60.8395,759.7,9,0.18,-0.477115
18,1.5,88.4706,61.9093,728.36,9,0.18,-0.493282
19,1.5833,88.729,61.9273,753.17,9,0.18,-0.451899
20,1.6667,88.9882,62.0646,728.85,10,0.2,-0.505563
21,1.75,89.2481,62.8666,712.13,10,0.2,-0.558053
22,1.8333,89.5088,62.3145,721.67,11,0.22,-0.513176
23,1.9167,89.7702,60.9158,735.59,13,0.26,-0.476206
24,2.0,90.0325,61.6246,720.24,13,0.26,-0.523345
25,2.0833,90.2954,61.7698,741.37,13,0.26,-0.512607
26,2.1667,90.5592,62.783,706.79,13,0.26,-0.607357
27,2.25,90.8237,61.853,741.61,14,0.28,-0.54161
28,2.3333,91.089,61.9806,766.68,14,0.28,-0.486761
29,2.4167,91.355,61.5214,769.36,15,0.3,-0.504318
30,2.5,91.6219,61.445,812.73,15,0.3,-0.440765
31,2.5833,91.8895,61.9004,816.15,15,0.3,-0.423922
32,2.6667,92.1579,60.8171,872.45,16,0.32,-0.355556
33,2.75,92.4271,61.2085,883.58,16,0.32,-0.334804
34,2.8333,92.6971,61.2545,928.15,16,0.32,-0.273293
35,2.9167,92.9678,60.048,915.32,18,0.36,-0.265698
36,3.0,93.2394,59.8865,886.6,19,0.38,-0.340317
37,3.0833,93.5117,59.2209,906.73,20,0.4,-0.327418
38,3.1667,93.7849,59.7359,904.22,20,0.4,-0.356338
39,3.25,94.0588,60.3256,893.18,20,0.4,-0.392
40,3.3333,94.3335,61.1988,847.24,20,0.4,-0.506087
41,3.4167,94.6091,61.9299,816.21,20,0.4,-0.566213
42,3.5,94.8854,62.2976,830.95,20,0.4,-0.523632
43,3.5833,95.1626,63.0492,794.35,20,0.4,-0.60877
44,3.6667,95.4405,63.3368,823.76,20,0.4,-0.603712
45,3.75,95.7193,61.9581,946.82,21,0.42,-0.396509
46,3.8333,95.9989,60.1624,963.23,23,0.46,-0.281921
47,3.9167,96.2793,58.6438,909.72,25,0.5,-0.251729
48,4.0,96.5605,57.9082,916.95,26,0.52,-0.244039
49,4.0833,96.8426,58.2901,933.91,26,0.52,-0.254948
50,4.1667,97.1255,58.767,927.91,26,0.52,-0.295178
51,4.25,97.4092,59.6133,808.83,26,0.52,-0.507294
52,4.3333,97.6937,58.8488,787.3,27,0.54,-0.515409
53,4.4167,97.979,59.2735,779.43,27,0.54,-0.484733
54,4.5,98.2652,58.4068,770.75,28,0.56,-0.491676
55,4.5833,98.5522,57.5146,753.82,29,0.58,-0.525861
56,4.6667,98.8401,57.8749,760.91,29,0.58,-0.468645
57,4.75,99.1288,55.5688,751.27,31,0.62,-0.428395
58,4.8333,99.4184,55.8956,773.38,31,0.62,-0.398842
59,4.9167,99.7088,56.236,805.52,31,0.62,-0.430428
60,5.0,100.0,56.6,847.19,31,0.62,-0.38153
